geoid,name,state,lat,lon,pop
3601000,Albany,NY,42.66575,-73.79835,101317
1919000,Davenport,IA,41.55682,-90.60395,100938
1257425,Plantation,FL,26.12557,-80.26182,100694
1217200,Deltona,FL,28.90512,-81.21098,100513
5323515,Federal Way,WA,47.3116,-122.33776,100252
4864472,San Angelo,TX,31.44108,-100.4505,100159
0680238,Tracy,CA,37.7274,-121.4522,100136
1269700,Sunrise,FL,26.1716,-80.26163,100128
1224125,Fort Myers,FL,26.62007,-81.82955,99918
0845970,Longmont,CO,40.16985,-105.10184,99818
5539225,Kenosha,WI,42.58753,-87.88,99578
0682996,Vista,CA,33.18968,-117.23858,99322
4023200,Edmond,OK,35.67381,-97.41308,99040
4105350,Beaverton,OR,45.47783,-122.8169,98302
0652526,Norwalk,CA,33.9076,-118.08345,98230
5168000,Roanoke,VA,37.27846,-79.95817,97912
5380010,Yakima,WA,46.59094,-120.5494,97390
2038900,Lawrence,KS,38.96003,-95.26293,97271
4957300,Orem,UT,40.29807,-111.69944,96646
0668196,San Marcos,CA,33.13257,-117.16989,96620
0404720,Avondale,AZ,33.31324,-112.32893,96609
5164000,Portsmouth,VA,36.85934,-76.35697,96482
4872176,Temple,TX,31.10345,-97.39112,96267
0646898,Merced,CA,37.30571,-120.47791,96073
4263624,Reading,PA,40.33922,-75.92628,96000
5305280,Bellingham,WA,48.75344,-122.47018,95860
4548535,Mount Pleasant,SC,32.80838,-79.86504,95604
5335940,Kirkland,WA,47.69666,-122.20417,95499
2954074,O'Fallon,MO,38.78467,-90.72074,95355
3728080,Greenville,NC,35.59643,-77.37526,95138
3702140,Asheville,NC,35.57097,-82.55272,94992
2523000,Fall River,MA,41.72535,-71.09416,94689
0645484,Manteca,CA,37.79284,-121.22608,94292
0636448,Indio,CA,33.73164,-116.23597,94275
0613210,Chino,CA,33.97804,-117.65772,94010
0955990,Norwalk,CT,41.09274,-73.4198,93661
0659920,Redding,CA,40.57028,-122.36677,93502
4944320,Lehi,UT,40.41708,-111.87115,93446
2649000,Livonia,MI,42.39718,-83.37232,93113
0135896,Hoover,AL,33.37903,-86.8089,93013
4224000,Erie,PA,42.11659,-80.0735,92940
0633182,Hemet,CA,33.73407,-116.99681,92912
1249675,North Port,FL,27.05817,-82.19804,92875
4967440,Sandy,UT,40.57171,-111.84987,92840
1367284,Roswell,GA,34.03945,-84.35095,92227
1712385,Champaign,IL,40.1141,-88.27462,91961
3350260,Nashua,NH,42.74907,-71.49054,91851
0648256,Mission Viejo,CA,33.60934,-117.65647,91601
4810912,Bryan,TX,30.66602,-96.38105,91541
0611530,Carson,CA,33.84037,-118.24957,91358
3474000,Trenton,NJ,40.22384,-74.76362,91193
0615044,Compton,CA,33.89405,-118.22747,91129
0673080,South Gate,CA,33.94416,-118.19276,90805
0670000,Santa Monica,CA,34.01091,-118.49824,90729
2545560,Newton,MA,42.33177,-71.2084,90700
3570500,Santa Fe,NM,35.66198,-105.98181,90551
0524550,Fort Smith,AR,35.34928,-94.37088,90507
1216725,Deerfield Beach,FL,26.31172,-80.12538,90507
3413690,Clifton,NJ,40.86214,-74.16039,90322
4041850,Lawton,OK,34.61922,-98.42111,90027
0684550,Westminster,CA,33.75229,-117.99387,89537
2430325,Frederick,MD,39.43409,-77.41454,89537
0566080,Springdale,AR,36.19144,-94.15506,89368
2534550,Lawrence,MA,42.70027,-71.16136,89332
2680700,Troy,MI,42.58388,-83.14553,89209
4727740,Franklin,TN,35.91403,-86.85216,89142
0918430,Danbury,CT,41.39874,-73.4781,88692
4955980,Ogden,UT,41.22839,-111.96815,88656
4848768,Mission,TX,26.20406,-98.32522,88574
1779293,Waukegan,IL,42.36945,-87.8709,88570
2706616,Bloomington,MN,44.82967,-93.31522,88344
0624638,Folsom,CA,38.6666,-121.14163,88091
2717000,Duluth,MN,46.77446,-92.13414,87986
1243975,Melbourne,FL,28.11044,-80.66272,87561
4842016,Leander,TX,30.57427,-97.86174,87511
0649670,Mountain View,CA,37.39969,-122.07927,87316
0669070,Santa Barbara,CA,34.40359,-119.71371,87291
0639496,Lake Forest,CA,33.65495,-117.67585,87159
0613588,Citrus Heights,CA,38.69481,-121.28795,86909
1973335,Sioux City,IA,42.49529,-96.38986,86875
5335275,Kennewick,WA,46.19762,-119.17592,86728
0668084,San Leandro,CA,37.70337,-122.16304,86571
4147000,Medford,OR,42.33689,-122.85177,86301
1380508,Warner Robins,GA,32.5971,-83.65394,86199
4970850,South Jordan,UT,40.55691,-111.97858,86156
1216525,Daytona Beach,FL,29.19071,-81.09708,86015
4806128,Baytown,TX,29.76478,-94.96746,86004
0668378,San Ramon,CA,37.76526,-121.93199,85924
1232275,Homestead,FL,25.46633,-80.44305,85796
0685292,Whittier,CA,33.96683,-118.02012,85589
3725580,Gastonia,NC,35.249,-81.18483,85535
5303180,Auburn,WA,47.30377,-122.21,85513
3650617,New Rochelle,NY,40.92324,-73.77934,85512
0641992,Livermore,CA,37.68698,-121.75978,84867
1236950,Kissimmee,FL,28.30278,-81.41783,84756
4419180,Cranston,RI,41.76973,-71.48505,84448
4943660,Layton,UT,41.07742,-111.96073,84348
2627440,Farmington Hills,MI,42.48565,-83.37596,84173
0659444,Rancho Cordova,CA,38.57708,-121.23619,84113
0458150,Queen Creek,AZ,33.23942,-111.61332,83781
0103076,Auburn,AL,32.60781,-85.49475,83757
4843888,Longview,TX,32.51934,-94.76459,83668
0632548,Hawthorne,CA,33.91477,-118.34808,83633
1217935,Doral,FL,25.81596,-80.35756,83625
4474300,Warwick,RI,41.70309,-71.42031,83554
1245025,Miami Beach,FL,25.8106,-80.14885,83251
0812415,Castle Rock,CO,39.37619,-104.85292,83213
1207875,Boynton Beach,FL,26.52833,-80.08072,83095
0656700,Perris,CA,33.78985,-117.22217,83032
0660102,Redwood City,CA,37.51527,-122.21367,82982
0651182,Newport Beach,CA,33.59733,-117.89035,82970
2707966,Brooklyn Park,MN,45.11091,-93.34909,82893
2686000,Westland,MI,42.31917,-83.38078,82745
0608786,Buena Park,CA,33.85735,-118.00737,82611
0535710,Jonesboro,AR,35.81976,-90.67903,82384
1239425,Largo,FL,27.90591,-82.76724,82337
5357535,Redmond,WA,47.67792,-122.11534,82195
2562535,Somerville,MA,42.39044,-71.10103,82149
1714351,Cicero,IL,41.84454,-87.75929,82090
5353545,Pasco,WA,46.26611,-119.12143,81724
1342425,Johns Creek,GA,34.03274,-84.20385,81167
2241155,Lake Charles,LA,30.19902,-93.21084,81157
4857200,Pharr,TX,26.16784,-98.1902,81142
0846465,Loveland,CO,40.4169,-105.06311,81102
4846452,Mansfield,TX,32.56919,-97.12053,80803
2771428,Woodbury,MN,44.90628,-92.9237,80596
5147672,Lynchburg,VA,37.39902,-79.19546,80301
