true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.0,5,903.0875860097269,3116.447665292807,0.15166666666666667,0.17583333333333334,0.3433333333333333,-9.016181201985882,0.013333333333333272,0.5216666666666666,0.8166666666666667,0.9483333333333334
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.0,8,824.6679086964652,2878.5028381186867,0.195,0.23166666666666666,0.39,-8.750455664137569,0.013333333333333345,0.525,0.7991666666666667,0.9358333333333333
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.0,12,586.3218285263557,2739.8845750827954,0.24916666666666668,0.2891666666666667,0.465,-8.531677227170468,0.020000000000000018,0.5208333333333334,0.7925,0.9183333333333333
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.0,16,499.40246368988545,2734.1528010091442,0.29083333333333333,0.33166666666666667,0.5141666666666667,-8.420757670820405,0.024444444444444453,0.5016666666666667,0.7775,0.9008333333333334
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.0,20,457.42189203959174,2734.4704912320212,0.305,0.355,0.535,-8.321855375132678,0.036944444444444446,0.5025,0.7591666666666667,0.8825
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.177,5,1038.5257133402492,3492.6658577026083,0.12333333333333334,0.1375,0.2833333333333333,-9.15195976574277,0.044999999999999964,0.58,0.845,0.96
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.177,8,1054.4096218542898,3499.9319994215066,0.13916666666666666,0.17,0.29083333333333333,-9.03431531563956,0.05499999999999997,0.5958333333333333,0.8541666666666666,0.965
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.177,12,1032.805784865751,3487.7380858749843,0.1475,0.17416666666666666,0.3016666666666667,-8.970768752179282,0.06777777777777776,0.6233333333333333,0.8608333333333333,0.9691666666666666
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.177,16,1089.2351058779586,3589.477551237956,0.135,0.1625,0.2791666666666667,-8.942228191260547,0.0658333333333333,0.615,0.8633333333333333,0.9691666666666666
0.3,0.24510302618114668,0.498046875,165,29.966616181211958,0.55,0.177,20,1137.8992012742024,3757.807276747385,0.12083333333333333,0.14583333333333334,0.25833333333333336,-8.920379441936975,0.06916666666666667,0.6225,0.8608333333333333,0.9741666666666666
