model,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
net,5,628.4267578125,3000.28955078125,0.20666666666666667,0.26,0.43666666666666665,-9.01956706157595,0.020000000000000018,0.54,0.8166666666666667,0.9533333333333334
bayes(rho=.177),5,796.055908203125,3232.630615234375,0.15,0.21333333333333335,0.3566666666666667,-9.166378078866998,0.05000000000000001,0.58,0.8533333333333334,0.9666666666666667
bayes(rho=0),5,680.7288818359375,3017.19287109375,0.18666666666666668,0.26666666666666666,0.41,-8.943708933227803,0.038888888888888896,0.56,0.8466666666666667,0.96
net,12,314.01007080078125,1943.465087890625,0.3,0.4033333333333333,0.5833333333333334,-8.491334429083524,0.05666666666666668,0.6166666666666667,0.8433333333333334,0.96
bayes(rho=.177),12,748.7569580078125,2972.050537109375,0.17,0.26666666666666666,0.38333333333333336,-8.996010393114556,0.07555555555555556,0.6166666666666667,0.8833333333333333,0.9766666666666667
bayes(rho=0),12,404.05462646484375,2167.982177734375,0.27666666666666667,0.43,0.5766666666666667,-8.33320661085579,0.07333333333333332,0.6333333333333333,0.8766666666666667,0.94
