k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,0.0,1180.7862008832806,3917.8511232918577,0.10689655172413794,0.2717241379310345,0.06827586206896552,0.1703448275862069,0.6296551724137931,0.8848275862068965,0.9682758620689655
2,1.0,1180.7862008832806,3917.8511232918577,0.10689655172413794,0.2717241379310345,0.06896551724137931,0.1703448275862069,0.6448275862068965,0.8751724137931034,0.9696551724137931
3,2.0,1178.487449578541,3916.6132891929105,0.10620689655172413,0.2717241379310345,0.032413793103448274,0.1703448275862069,0.6448275862068965,0.8682758620689656,0.9689655172413794
4,3.0,1156.3889976778191,3906.610254350431,0.11586206896551725,0.2806896551724138,0.0696551724137931,0.1703448275862069,0.6324137931034483,0.8662068965517241,0.9703448275862069
5,4.0,1158.3291748842835,3910.470021363826,0.11241379310344828,0.2772413793103448,0.06413793103448276,0.1703448275862069,0.636551724137931,0.8689655172413793,0.9682758620689655
