true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.0,0.00636284934962947,0.0,165,0.0,5,786.9491319963133,3314.0836677426696,0.1825,0.2125,0.36083333333333334,-8.853182194726704,0.05166666666666667,0.5858333333333333,0.8566666666666667,0.9625
0.0,0.00636284934962947,0.0,165,0.0,8,547.8229542749789,2745.418719194885,0.24166666666666667,0.31333333333333335,0.45,-8.56241143330175,0.055833333333333325,0.605,0.8533333333333334,0.9591666666666666
0.0,0.00636284934962947,0.0,165,0.0,12,399.3177454722246,2417.4408224458443,0.29333333333333333,0.3825,0.5341666666666667,-8.271281416794151,0.05416666666666662,0.6141666666666666,0.8425,0.9441666666666667
0.0,0.00636284934962947,0.0,165,0.0,16,329.4441448417253,2252.6797211504604,0.3433333333333333,0.425,0.58,-8.072954484605383,0.05805555555555549,0.615,0.8391666666666666,0.93
0.0,0.00636284934962947,0.0,165,0.0,20,258.7527065835006,2082.5200527140373,0.39416666666666667,0.47583333333333333,0.6208333333333333,-7.875940323581499,0.061944444444444434,0.62,0.8433333333333334,0.9275
0.0,0.00636284934962947,0.0,165,0.05,5,854.3795001623159,3346.050986053353,0.16666666666666666,0.195,0.3433333333333333,-8.922796310579093,0.06305555555555553,0.605,0.8691666666666666,0.965
0.0,0.00636284934962947,0.0,165,0.05,8,632.0215023242511,2878.4408063781425,0.20916666666666667,0.27166666666666667,0.4033333333333333,-8.705387567010042,0.07694444444444444,0.6391666666666667,0.8783333333333333,0.9633333333333334
0.0,0.00636284934962947,0.0,165,0.05,12,501.3926492901789,2561.6171607165984,0.24916666666666668,0.32416666666666666,0.4816666666666667,-8.50310668014281,0.08222222222222224,0.6508333333333334,0.8808333333333334,0.965
0.0,0.00636284934962947,0.0,165,0.05,16,425.0958210732608,2419.3670594372174,0.2783333333333333,0.36,0.5183333333333333,-8.369966521237913,0.0913888888888889,0.6683333333333333,0.8858333333333334,0.97
0.0,0.00636284934962947,0.0,165,0.05,20,407.9643644111817,2519.8317509050557,0.2875,0.36583333333333334,0.5158333333333334,-8.261285616412595,0.09944444444444445,0.6825,0.8975,0.9683333333333334
0.0,0.00636284934962947,0.0,165,0.09,5,876.1020656865087,3394.4822116622786,0.15916666666666668,0.18583333333333332,0.3308333333333333,-8.974977628115086,0.06194444444444447,0.6033333333333334,0.8675,0.965
0.0,0.00636284934962947,0.0,165,0.09,8,709.6261846154403,3059.3789205716603,0.18916666666666668,0.24333333333333335,0.37583333333333335,-8.808242005172206,0.08305555555555555,0.6475,0.8833333333333333,0.9683333333333334
0.0,0.00636284934962947,0.0,165,0.09,12,568.1089314590199,2723.9125165865667,0.2175,0.28833333333333333,0.43333333333333335,-8.665590418259637,0.09083333333333332,0.6633333333333333,0.8891666666666667,0.97
0.0,0.00636284934962947,0.0,165,0.09,16,532.6855610855962,2685.216242906577,0.21916666666666668,0.29833333333333334,0.43833333333333335,-8.578621511027803,0.09694444444444443,0.6675,0.8991666666666667,0.9741666666666666
0.0,0.00636284934962947,0.0,165,0.09,20,497.69007557814166,2645.824842524763,0.23916666666666667,0.31416666666666665,0.4625,-8.517436014985673,0.10722222222222222,0.6875,0.905,0.9791666666666666
0.0,0.00636284934962947,0.0,165,0.13,5,892.9774177975696,3423.771090310204,0.15333333333333332,0.17666666666666667,0.31833333333333336,-9.022567346871705,0.06277777777777775,0.605,0.8691666666666666,0.9641666666666666
0.0,0.00636284934962947,0.0,165,0.13,8,791.1864671731041,3119.493814442403,0.17416666666666666,0.22166666666666668,0.3441666666666667,-8.895923425966373,0.08416666666666665,0.6483333333333333,0.885,0.9691666666666666
0.0,0.00636284934962947,0.0,165,0.13,12,645.124025273799,2786.6197240220235,0.19,0.25666666666666665,0.39166666666666666,-8.795744481434136,0.09055555555555557,0.66,0.8891666666666667,0.9725
0.0,0.00636284934962947,0.0,165,0.13,16,628.4240716230876,2814.5144701667477,0.19166666666666668,0.2633333333333333,0.39666666666666667,-8.73880121962868,0.09444444444444444,0.665,0.8941666666666667,0.9741666666666666
0.0,0.00636284934962947,0.0,165,0.13,20,612.1573781272623,2872.8448642208277,0.19083333333333333,0.26166666666666666,0.40166666666666667,-8.700959139308784,0.1013888888888889,0.6766666666666666,0.8991666666666667,0.9783333333333334
0.0,0.00636284934962947,0.0,165,0.177,5,920.6032096754258,3475.84334907091,0.14583333333333334,0.16166666666666665,0.2991666666666667,-9.072475090290206,0.06277777777777778,0.6033333333333334,0.87,0.965
0.0,0.00636284934962947,0.0,165,0.177,8,901.804829808254,3319.6541000719135,0.15583333333333332,0.19416666666666665,0.30416666666666664,-8.981477885497892,0.07861111111111115,0.6358333333333334,0.8816666666666667,0.9683333333333334
0.0,0.00636284934962947,0.0,165,0.177,12,794.1810599773729,2914.6530762100806,0.16833333333333333,0.22166666666666668,0.3433333333333333,-8.915213350149049,0.08444444444444447,0.6508333333333334,0.8816666666666667,0.9708333333333333
0.0,0.00636284934962947,0.0,165,0.177,16,795.5433308790882,3137.5932510065004,0.15333333333333332,0.20916666666666667,0.33666666666666667,-8.879978117964951,0.08861111111111108,0.6516666666666666,0.89,0.9741666666666666
0.0,0.00636284934962947,0.0,165,0.177,20,849.6904014367944,3304.5012109833824,0.15333333333333332,0.2,0.32166666666666666,-8.856712300500119,0.09277777777777778,0.6625,0.8883333333333333,0.9775
0.05,0.04837772540462391,0.2109375,165,0.0,5,764.9123424760962,3228.143485488675,0.18583333333333332,0.21916666666666668,0.36916666666666664,-8.83366133261505,0.05444444444444444,0.595,0.8558333333333333,0.9625
0.05,0.04837772540462391,0.2109375,165,0.0,8,566.72353876442,2557.2123729372693,0.2375,0.3075,0.43833333333333335,-8.537731817971327,0.05722222222222225,0.6125,0.8525,0.9566666666666667
