k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1016.7448743664968,3547.0408140135924,0.1225,0.33,0.1175,0.2925,0.495,0.7775,0.94
2,2.0,870.1453209622696,3520.969130270089,0.1425,0.36,0.1375,0.32,0.5,0.7725,0.9325
3,3.0,791.3599201950158,3454.7967598312584,0.185,0.405,0.185,0.415,0.505,0.7875,0.9375
4,4.0,767.4132287021714,3450.3267535090363,0.1925,0.4225,0.2275,0.4125,0.525,0.7875,0.9475
5,5.0,570.0943065366905,2997.0270784383833,0.2375,0.46,0.2925,0.48,0.5125,0.8,0.9575
6,6.0,590.5670138718776,2997.0270784383833,0.23,0.46,0.285,0.49,0.51,0.8,0.955
