k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1075.9943738040133,3805.822787903791,0.11916666666666667,0.3225,0.10333333333333333,0.2633333333333333,0.5566666666666666,0.8416666666666667,0.965
2,2.0,871.0346485062018,3805.702260010465,0.13333333333333333,0.3591666666666667,0.11583333333333333,0.29083333333333333,0.5833333333333334,0.875,0.9675
3,3.0,961.5302977192717,3569.476788039141,0.16416666666666666,0.3441666666666667,0.15416666666666667,0.29583333333333334,0.6075,0.88,0.9716666666666667
4,4.0,856.4709019316975,3541.403934169072,0.18583333333333332,0.3725,0.1925,0.3258333333333333,0.6358333333333334,0.9008333333333334,0.9766666666666667
5,5.0,725.0574001485157,3508.502176543648,0.18916666666666668,0.4191666666666667,0.21916666666666668,0.36,0.6458333333333334,0.9041666666666667,0.98
6,6.0,694.6198289510231,3486.545263340766,0.1925,0.42583333333333334,0.24666666666666667,0.3616666666666667,0.665,0.9091666666666667,0.9808333333333333
7,7.0,682.0545523368041,3035.8113068249877,0.205,0.43583333333333335,0.27,0.37666666666666665,0.6741666666666667,0.9108333333333334,0.9841666666666666
8,8.0,629.8666799839956,2868.2280617191436,0.22083333333333333,0.4558333333333333,0.2875,0.4025,0.6866666666666666,0.9158333333333334,0.9825
9,9.0,643.0209788065736,2977.375963806243,0.21833333333333332,0.4475,0.28833333333333333,0.3983333333333333,0.6916666666666667,0.925,0.9841666666666666
10,10.0,610.7563304881801,2660.4462426896193,0.22416666666666665,0.455,0.3016666666666667,0.41583333333333333,0.6983333333333334,0.925,0.9841666666666666
11,11.0,565.0332750817633,2590.6425085615992,0.22916666666666666,0.4708333333333333,0.32083333333333336,0.43833333333333335,0.7058333333333333,0.9308333333333333,0.985
12,12.0,555.731290285335,2652.2775717548384,0.22916666666666666,0.4791666666666667,0.31666666666666665,0.44583333333333336,0.7175,0.93,0.9858333333333333
13,13.0,540.1456686969373,2600.489148716663,0.23583333333333334,0.4841666666666667,0.325,0.44666666666666666,0.7225,0.93,0.9858333333333333
14,14.0,547.6406741078242,2601.0722429361244,0.23333333333333334,0.4816666666666667,0.32083333333333336,0.44583333333333336,0.7275,0.9341666666666667,0.9866666666666667
15,15.0,544.6301994971973,2627.9774752355124,0.2325,0.485,0.31666666666666665,0.45,0.725,0.9375,0.9866666666666667
16,16.0,551.9738120508316,2601.7352537938514,0.22833333333333333,0.4791666666666667,0.31416666666666665,0.4475,0.7308333333333333,0.9383333333333334,0.9866666666666667
17,17.0,578.0362225760159,2616.2799501940376,0.22666666666666666,0.4691666666666667,0.31,0.44,0.7375,0.9383333333333334,0.9875
18,18.0,577.830133603283,2708.922077319513,0.23,0.47333333333333333,0.3075,0.43833333333333335,0.7408333333333333,0.9408333333333333,0.9883333333333333
19,19.0,555.731290285335,2734.8760488951416,0.22583333333333333,0.48,0.30083333333333334,0.44083333333333335,0.7358333333333333,0.9425,0.99
20,20.0,554.5492026210848,2759.9614085193884,0.23,0.4816666666666667,0.305,0.44416666666666665,0.7358333333333333,0.9433333333333334,0.9891666666666666
