k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1075.9943738040133,3805.822787903791,0.11916666666666667,0.3225,0.10333333333333333,0.2633333333333333,0.5566666666666666,0.8416666666666667,0.965
2,2.0,877.1699564413012,3725.080323126371,0.135,0.3641666666666667,0.12083333333333333,0.2975,0.5808333333333333,0.8758333333333334,0.9666666666666667
3,3.0,830.1303055731044,3517.152574489128,0.17916666666666667,0.3925,0.18083333333333335,0.34,0.6125,0.885,0.9708333333333333
4,4.0,792.0483355260211,3401.680928213912,0.20416666666666666,0.4,0.2225,0.35833333333333334,0.6366666666666667,0.9008333333333334,0.98
5,5.0,661.6684886102394,3433.936556460764,0.21333333333333335,0.4475,0.24833333333333332,0.395,0.6491666666666667,0.9066666666666666,0.9825
6,6.0,630.9092557808084,3050.8307758316378,0.21666666666666667,0.45166666666666666,0.2866666666666667,0.41,0.6683333333333333,0.9116666666666666,0.9816666666666667
7,7.0,551.9738120508316,2590.4014609303676,0.23916666666666667,0.4841666666666667,0.3125,0.4483333333333333,0.6833333333333333,0.9141666666666667,0.9841666666666666
8,8.0,490.5252487566743,2503.855387251432,0.25833333333333336,0.505,0.3433333333333333,0.47,0.7041666666666667,0.9183333333333333,0.985
9,9.0,460.024787580684,2404.888606594905,0.2775,0.5216666666666666,0.37416666666666665,0.5041666666666667,0.7133333333333334,0.9325,0.9866666666666667
10,10.0,463.85051820714517,2325.3471942378014,0.2775,0.5191666666666667,0.38083333333333336,0.5116666666666667,0.7158333333333333,0.9333333333333333,0.9883333333333333
11,11.0,423.562869272827,2325.364054591877,0.2941666666666667,0.5458333333333333,0.3983333333333333,0.53,0.72,0.9408333333333333,0.9891666666666666
12,12.0,398.2201447235509,2269.322100527531,0.30333333333333334,0.5616666666666666,0.40166666666666667,0.5508333333333333,0.7283333333333334,0.9408333333333333,0.9883333333333333
13,13.0,378.20211268354217,2243.7910356819584,0.31083333333333335,0.5708333333333333,0.4091666666666667,0.56,0.7433333333333333,0.9466666666666667,0.9891666666666666
14,14.0,344.98873527726505,2180.6052355606794,0.325,0.585,0.41833333333333333,0.57,0.7583333333333333,0.9533333333333334,0.99
15,15.0,336.0819337109896,2167.6941199732573,0.32666666666666666,0.59,0.4225,0.5733333333333334,0.7583333333333333,0.9508333333333333,0.99
16,16.0,325.46931083035963,1908.951205539448,0.33666666666666667,0.5983333333333334,0.43666666666666665,0.59,0.76,0.95,0.9933333333333333
17,17.0,330.43834515071114,1818.206967490709,0.3408333333333333,0.6033333333333334,0.4475,0.6033333333333334,0.7658333333333334,0.9516666666666667,0.9925
18,18.0,320.5979259217677,1832.552090047097,0.35083333333333333,0.6141666666666666,0.455,0.5966666666666667,0.7733333333333333,0.9591666666666666,0.9941666666666666
19,19.0,288.7585837901791,1745.9315194799951,0.3625,0.6266666666666667,0.4666666666666667,0.6075,0.7808333333333334,0.96,0.9958333333333333
20,20.0,287.9608019301542,1732.2012563860644,0.36333333333333334,0.6225,0.4675,0.6033333333333334,0.7783333333333333,0.9616666666666667,0.9958333333333333
