k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1075.9943738040133,3805.822787903791,0.11916666666666667,0.3225,0.10333333333333333,0.2633333333333333,0.5566666666666666,0.8416666666666667,0.965
2,2.0,877.1699564413012,3725.080323126371,0.135,0.3641666666666667,0.12083333333333333,0.2975,0.5808333333333333,0.875,0.9675
3,3.0,817.3987023701549,3509.9931253225404,0.18583333333333332,0.4083333333333333,0.19083333333333333,0.3525,0.605,0.885,0.9725
4,4.0,758.6582231677877,3384.743362335948,0.21,0.415,0.23583333333333334,0.36833333333333335,0.6316666666666667,0.8975,0.98
5,5.0,629.8666799839956,3200.553511810626,0.22416666666666665,0.45666666666666667,0.2658333333333333,0.415,0.6525,0.9075,0.9825
6,6.0,587.9430259158158,3056.278862073327,0.23583333333333334,0.47333333333333333,0.30916666666666665,0.4275,0.665,0.9091666666666667,0.9808333333333333
7,7.0,481.1219084461019,2410.2794777239446,0.26416666666666666,0.5133333333333333,0.3475,0.48333333333333334,0.6691666666666667,0.9108333333333334,0.985
8,8.0,426.8141228763967,2356.6747297372053,0.29333333333333333,0.5333333333333333,0.37916666666666665,0.515,0.6908333333333333,0.915,0.9866666666666667
9,9.0,379.56968812168145,2354.2550209209176,0.31083333333333335,0.5566666666666666,0.4075,0.5475,0.6975,0.9266666666666666,0.9866666666666667
10,10.0,342.933277298176,2178.516889618593,0.325,0.5683333333333334,0.42833333333333334,0.5633333333333334,0.6916666666666667,0.9283333333333333,0.9866666666666667
11,11.0,326.226861152413,1946.2779449795555,0.3358333333333333,0.5841666666666666,0.43583333333333335,0.5875,0.6875,0.935,0.9875
12,12.0,308.2690785513994,2020.0326220819659,0.35833333333333334,0.6041666666666666,0.44916666666666666,0.605,0.695,0.9333333333333333,0.9875
13,13.0,282.79873689941473,1875.8299955476573,0.37583333333333335,0.6175,0.45666666666666667,0.6125,0.7016666666666667,0.9366666666666666,0.9883333333333333
14,14.0,254.2754460148662,1832.0711897705542,0.385,0.6441666666666667,0.4825,0.635,0.7041666666666667,0.9441666666666667,0.9883333333333333
15,15.0,241.54626926190747,1792.858827694408,0.4033333333333333,0.655,0.4975,0.6516666666666666,0.7091666666666666,0.9441666666666667,0.99
16,16.0,225.06592764859403,1697.314014177218,0.4241666666666667,0.6708333333333333,0.5141666666666667,0.6675,0.7108333333333333,0.9383333333333334,0.9933333333333333
17,17.0,210.3297117528714,1651.7807964380033,0.43666666666666665,0.6908333333333333,0.5408333333333334,0.6925,0.7183333333333334,0.9416666666666667,0.9933333333333333
18,18.0,187.71052713957664,1617.3217023590344,0.4525,0.6991666666666667,0.55,0.6958333333333333,0.715,0.9508333333333333,0.9933333333333333
19,19.0,171.2125793701195,1575.026347478138,0.465,0.7108333333333333,0.5625,0.7116666666666667,0.7216666666666667,0.9475,0.9966666666666667
20,20.0,165.33767754714887,1532.6272561304797,0.4741666666666667,0.7183333333333334,0.5691666666666667,0.7166666666666667,0.72,0.9475,0.9966666666666667
