true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.0,5,898.5038398976926,3284.9125038115153,0.14916666666666667,0.18166666666666667,0.3283333333333333,-9.01881231002882,0.05000000000000001,0.5883333333333334,0.8475,0.9641666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.0,12,539.2583228895643,2700.9391485412816,0.25083333333333335,0.33,0.4725,-8.503276816927887,0.0613888888888889,0.6075,0.87,0.9566666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.0,20,382.7179682270472,2375.0391324213515,0.31583333333333335,0.39416666666666667,0.5466666666666666,-8.133968711321689,0.057222222222222174,0.6116666666666667,0.8541666666666666,0.9441666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.177,5,1135.7946073053035,3809.547644159286,0.11083333333333334,0.11666666666666667,0.22916666666666666,-9.219751609681623,0.04749999999999999,0.5791666666666667,0.8491666666666666,0.9641666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.177,12,1148.6201860821175,3761.0874746240715,0.11583333333333333,0.14166666666666666,0.24166666666666667,-9.099816795489316,0.06500000000000002,0.6166666666666667,0.8558333333333333,0.9725
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.4,0.177,20,1220.2688553599,3860.745258132271,0.09916666666666667,0.10916666666666666,0.19416666666666665,-9.058314971472791,0.07138888888888888,0.6233333333333333,0.8641666666666666,0.9766666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,5,833.0339769512503,3116.447665292807,0.165,0.20666666666666667,0.36583333333333334,-8.913756096405836,0.034722222222222245,0.5633333333333334,0.8325,0.9583333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,12,496.5287871715883,2459.3369269733475,0.2625,0.3466666666666667,0.49916666666666665,-8.387877546983512,0.03444444444444442,0.5658333333333333,0.8233333333333334,0.9358333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,20,329.25940998346215,2198.048066709994,0.34,0.4225,0.5758333333333333,-8.045086177665745,0.03722222222222219,0.5675,0.8066666666666666,0.9125
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,5,979.1741707405636,3500.53870989219,0.13833333333333334,0.16,0.2875,-9.09799352976015,0.05305555555555556,0.5908333333333333,0.85,0.9683333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,12,928.1982080652792,3099.238868606417,0.16166666666666665,0.20416666666666666,0.32166666666666666,-8.928891417349718,0.07722222222222219,0.6391666666666667,0.8683333333333333,0.9741666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,20,1028.4694819400374,3556.2207143576275,0.14,0.17916666666666667,0.2816666666666667,-8.867649500452623,0.08499999999999996,0.6475,0.8783333333333333,0.9791666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.0,5,781.8586197499997,3099.2728243836427,0.17666666666666667,0.21166666666666667,0.37166666666666665,-8.871332905089394,0.007500000000000025,0.5008333333333334,0.7883333333333333,0.94
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.0,12,469.3649227815423,2406.823064423086,0.2866666666666667,0.3591666666666667,0.5141666666666667,-8.397265834094195,0.03555555555555554,0.48333333333333334,0.7608333333333334,0.8991666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.0,20,308.8437872481693,2232.538311745576,0.35833333333333334,0.4375,0.5933333333333334,-8.127077063749963,0.052222222222222225,0.4891666666666667,0.74,0.8641666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.177,5,872.3510993052947,3216.1399716586275,0.155,0.18833333333333332,0.345,-8.979849076325646,0.04777777777777781,0.5833333333333334,0.8483333333333334,0.9616666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.177,12,696.4556007609805,2818.0731863040414,0.2025,0.27,0.4008333333333333,-8.742682111906152,0.08138888888888889,0.6441666666666667,0.8791666666666667,0.9708333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.75,0.177,20,678.2209904238949,2915.0091218148204,0.19916666666666666,0.2683333333333333,0.3933333333333333,-8.65147697918312,0.0930555555555556,0.6658333333333334,0.8858333333333334,0.9775
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.0,5,739.3739601222342,3066.903634505512,0.19,0.22333333333333333,0.3883333333333333,-8.93566291893424,0.07361111111111111,0.4175,0.7216666666666667,0.89
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.0,12,452.29807079732745,2398.790664500697,0.2916666666666667,0.365,0.5216666666666666,-8.577571132134448,0.10805555555555556,0.4116666666666667,0.6733333333333333,0.8408333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.0,20,302.73239131569494,2272.154663570726,0.36666666666666664,0.42833333333333334,0.5941666666666666,-8.425391982333265,0.1236111111111111,0.40166666666666667,0.6591666666666667,0.8183333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.177,5,817.0061123951491,3128.0192364945356,0.17,0.2125,0.36833333333333335,-8.896011168396068,0.025555555555555554,0.5525,0.8208333333333333,0.9533333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.177,12,567.3410435097827,2702.3683561369826,0.23916666666666667,0.315,0.4533333333333333,-8.572095175819895,0.07222222222222223,0.6225,0.8791666666666667,0.965
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,1.0,0.177,20,513.1615170173767,2669.8727554528173,0.25083333333333335,0.3308333333333333,0.4658333333333333,-8.438873868455957,0.09055555555555557,0.6608333333333334,0.8916666666666667,0.9691666666666666
