true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.0,5,874.2903491452671,3328.126850465867,0.15833333333333333,0.1875,0.3308333333333333,-8.96976114732438,0.0636111111111111,0.6083333333333333,0.865,0.9675
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.0,12,473.5248272825595,2433.989034840096,0.2625,0.35583333333333333,0.5058333333333334,-8.424942453296273,0.07722222222222223,0.64,0.8783333333333333,0.9633333333333334
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.0,20,316.44990120485386,2209.6506140292117,0.35083333333333333,0.42833333333333334,0.5866666666666667,-8.05838198265995,0.07333333333333332,0.6458333333333334,0.87,0.9458333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.177,5,1119.133322253897,3832.013423235965,0.1225,0.12083333333333333,0.2325,-9.192243956035222,0.05694444444444443,0.5908333333333333,0.8608333333333333,0.9691666666666666
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.177,12,1047.8385444359128,3504.9631315176543,0.13166666666666665,0.16916666666666666,0.2658333333333333,-9.0728225902335,0.07583333333333335,0.6366666666666667,0.8708333333333333,0.97
0.18,0.1775289210399553,0.380859375,165,0.0,0.4,0.177,20,1193.0223512058456,3832.013423235965,0.11666666666666667,0.13083333333333333,0.21416666666666667,-9.033070975174802,0.0788888888888889,0.6341666666666667,0.8758333333333334,0.9766666666666667
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.0,5,754.160612888495,3205.9355776202306,0.18416666666666667,0.22416666666666665,0.37,-8.842774990816592,0.0494444444444444,0.585,0.8491666666666666,0.9641666666666666
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.0,12,407.3647479770666,2375.948335402479,0.29,0.38333333333333336,0.5475,-8.28098097502306,0.045833333333333316,0.5908333333333333,0.8375,0.9408333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.0,20,269.9764766727478,2094.298236147574,0.37833333333333335,0.4608333333333333,0.6291666666666667,-7.954954086152259,0.043333333333333335,0.5833333333333334,0.8141666666666667,0.9175
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.177,5,961.9116743869488,3487.791602332654,0.14333333333333334,0.16,0.2916666666666667,-9.05897478208795,0.0625,0.6058333333333333,0.8658333333333333,0.9658333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.177,12,801.172476447455,2866.9693274244337,0.17666666666666667,0.23083333333333333,0.355,-8.891526455232963,0.08805555555555555,0.6591666666666667,0.8808333333333334,0.9741666666666666
0.18,0.1775289210399553,0.380859375,165,0.0,0.55,0.177,20,882.2328572841586,3138.633181740345,0.16416666666666666,0.20583333333333334,0.3225,-8.834116374636958,0.09222222222222225,0.6608333333333334,0.8875,0.9783333333333334
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.0,5,690.7202677364583,3178.041580737559,0.20083333333333334,0.24,0.3883333333333333,-8.767731879071402,0.02111111111111108,0.5441666666666667,0.8158333333333333,0.9466666666666667
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.0,12,384.9107516737166,2387.017467465558,0.31083333333333335,0.39916666666666667,0.5666666666666667,-8.253482373051213,0.021666666666666685,0.5166666666666667,0.7883333333333333,0.9133333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.0,20,239.9551524598088,2081.654759582222,0.395,0.4825,0.64,-8.018565158659548,0.0411111111111111,0.505,0.755,0.8766666666666667
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.177,5,854.3795001623159,3295.125490724244,0.165,0.19833333333333333,0.3441666666666667,-8.924460890804566,0.062222222222222213,0.6058333333333333,0.8616666666666667,0.9691666666666666
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.177,12,600.9736749212667,2713.7259867025655,0.21333333333333335,0.29,0.43083333333333335,-8.691361675017376,0.09083333333333336,0.6633333333333333,0.8866666666666667,0.9725
0.18,0.1775289210399553,0.380859375,165,0.0,0.75,0.177,20,566.4352490522185,2719.844388419419,0.21166666666666667,0.28,0.4191666666666667,-8.607736463450893,0.10138888888888893,0.6841666666666667,0.8916666666666667,0.9783333333333334
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.0,5,650.1949101743562,3013.1307206074666,0.22083333333333333,0.255,0.41333333333333333,-8.786945989598731,0.03555555555555554,0.47333333333333333,0.7566666666666667,0.9133333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.0,12,352.0482916867588,2380.042760745925,0.32416666666666666,0.42,0.5841666666666666,-8.388196240832816,0.07805555555555556,0.4533333333333333,0.7016666666666667,0.8608333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.0,20,235.82200870739507,2133.1894798074923,0.3958333333333333,0.47583333333333333,0.6325,-8.290799790589526,0.10083333333333333,0.4275,0.6916666666666667,0.8283333333333334
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.177,5,745.9744269576648,3177.944435327742,0.18833333333333332,0.22916666666666666,0.37333333333333335,-8.8183109350347,0.04277777777777777,0.5783333333333334,0.8391666666666666,0.9608333333333333
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.177,12,497.56497859455453,2375.948335402479,0.25083333333333335,0.33916666666666667,0.48833333333333334,-8.50336148936537,0.08333333333333333,0.6516666666666666,0.88,0.9683333333333334
0.18,0.1775289210399553,0.380859375,165,0.0,1.0,0.177,20,462.24619819281793,2370.4868491702623,0.2675,0.345,0.49666666666666665,-8.383841781459857,0.10194444444444443,0.6916666666666667,0.895,0.9691666666666666
