true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.0,5,809.1200749101918,3336.9281073467187,0.15916666666666668,0.19083333333333333,0.3491666666666667,-8.975926646564222,0.059444444444444446,0.5941666666666666,0.8666666666666667,0.9675
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.0,12,472.6978518331741,2567.407036462551,0.25833333333333336,0.33916666666666667,0.4975,-8.439252720395304,0.0636111111111111,0.615,0.8691666666666666,0.9566666666666667
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.0,20,344.16949889257467,2205.104358152777,0.33,0.41333333333333333,0.5791666666666667,-8.059269344596112,0.0708333333333333,0.635,0.8683333333333333,0.9408333333333333
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.177,5,1103.4950344057315,3825.612818836287,0.11583333333333333,0.12083333333333333,0.23333333333333334,-9.19537449941892,0.055000000000000014,0.5916666666666667,0.8566666666666667,0.9666666666666667
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.177,12,1105.5095893320204,3726.8880847428813,0.12416666666666666,0.14916666666666667,0.26,-9.074902288318675,0.07111111111111112,0.6275,0.8625,0.9733333333333334
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.4,0.177,20,1202.4059963858801,3833.119766235644,0.10833333333333334,0.12,0.21583333333333332,-9.033019610982532,0.07527777777777782,0.6316666666666667,0.8675,0.9766666666666667
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.0,5,666.915038494647,3177.944435327742,0.18833333333333332,0.22333333333333333,0.3858333333333333,-8.852652575776395,0.04555555555555557,0.5725,0.8533333333333334,0.9608333333333333
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.0,12,416.57626307922635,2375.012758693903,0.2866666666666667,0.37583333333333335,0.5466666666666666,-8.303465822869295,0.03999999999999996,0.5766666666666667,0.8316666666666667,0.9383333333333334
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.0,20,300.3373075173176,2135.5789561374936,0.36916666666666664,0.45,0.615,-7.954740726989764,0.04611111111111107,0.5825,0.8216666666666667,0.9158333333333334
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.177,5,903.9839805817179,3502.3914527182656,0.14916666666666667,0.17416666666666666,0.31583333333333335,-9.063675381611702,0.06027777777777776,0.5966666666666667,0.8641666666666666,0.97
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.177,12,815.0631536646821,2950.4742851332912,0.17333333333333334,0.21916666666666668,0.34833333333333333,-8.895338993832585,0.08333333333333333,0.6533333333333333,0.87,0.9766666666666667
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.55,0.177,20,909.9334984601128,3500.03713186612,0.15916666666666668,0.19916666666666666,0.32666666666666666,-8.83412944713327,0.09249999999999999,0.6616666666666666,0.8866666666666667,0.9791666666666666
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.75,0.0,5,621.9046233618719,3093.726857431669,0.20083333333333334,0.24,0.405,-8.784322357258356,0.01166666666666664,0.525,0.8041666666666667,0.9441666666666667
0.18,0.17784108827638087,0.380859375,165,9.966702697959683,0.75,0.0,12,394.02999722681625,2295.6831428322503,0.30833333333333335,0.3908333333333333,0.5575,-8.285802663138405,0.02749999999999997,0.505,0.7666666666666667,0.9058333333333334
