model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
bayes(rho=0)+mix,5,mover_500_1500km,334,1108.4953002929688,2174.0773193359373,0.03293413173652695,-10.189537774584744,13.512970931300764,346160.84375,0.2934131736526946,,,1335807.9375,0.6167664670658682,,,3285068.375,0.8982035928143712,,
bayes(rho=0)+mix,5,mover_1500km_plus,450,2127.88671875,3834.0180908203124,0.03333333333333333,-10.102724689720393,13.5434488599069,345555.890625,0.30666666666666664,,,1409429.0625,0.66,,,3432950.625,0.88,,
net,14,all,6000,292.3973693847656,2181.215283203127,0.356,-8.196757127732688,12.475090142075675,129011.50390625,0.603,,,633180.46875,0.8366666666666667,,,2339509.875,0.9578333333333333,,
net,14,stayer,5104,205.9133529663086,1644.0037841796873,0.4135971786833856,-7.718186892016293,12.476011691851191,129077.7578125,0.6949451410658307,0.682170630775911,0.707426415459822,633180.46875,0.932601880877743,0.9253932469554284,0.9391597963495951,2342956.0,0.9900078369905956,0.9868868827669889,0.9923917228968985
net,14,mover,896,1477.3902587890625,3326.54931640625,0.027901785714285716,-10.922898291902865,12.469019220166958,127783.3515625,0.07924107142857142,0.06329715263333284,0.09877759474442786,633244.5,0.29017857142857145,0.26140702020865114,0.3207416601813198,2310442.625,0.7745535714285714,0.7460526672467109,0.8007102296898165
net,14,mover_0_500km,112,365.365478515625,1511.4237915039064,0.19642857142857142,-8.91588273229998,12.37809051527675,119114.921875,0.35714285714285715,,,546384.96875,0.6785714285714286,,,2114452.75,0.9553571428571429,,
net,14,mover_500_1500km,334,1006.7155151367188,1604.6794677734374,0.008982035928143712,-11.16144414153743,12.461418787584355,135286.4453125,0.05389221556886228,,,629477.6875,0.24550898203592814,,,2269976.0,0.7395209580838323,,
net,14,mover_1500km_plus,450,2333.7867431640625,3806.245458984375,0.0,-11.245368133897484,12.498643721469353,128391.62109375,0.028888888888888888,,,652833.53125,0.22666666666666666,,,2362430.875,0.7555555555555555,,
net+mix,14,all,6000,292.74652099609375,2174.4019042968775,0.3541666666666667,-8.22080904422137,12.894109193240254,178170.4140625,0.655,,,930901.40625,0.8853333333333333,,,2875521.125,0.974,,
net+mix,14,stayer,5104,208.2925567626953,1641.8140258789053,0.4114420062695925,-7.825791317997905,12.894293561188165,178341.2890625,0.7464733542319749,0.7343561057825356,0.7582198582019388,930838.96875,0.9504310344827587,0.9441300901404527,0.956054441815276,2878736.375,0.9903996865203761,0.9873313950823416,0.9927303202222205
