true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.0,5,915.4248756335548,3226.3192025058306,0.145,0.1725,0.32916666666666666,-9.082909088967453,0.03944444444444439,0.57,0.8391666666666666,0.9591666666666666
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.0,12,674.0793198351104,2747.7827937763273,0.22666666666666666,0.2866666666666667,0.44416666666666665,-8.585628152332214,0.04277777777777777,0.5791666666666667,0.8441666666666666,0.955
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.0,20,471.22082363633024,2667.732063793036,0.29083333333333333,0.3516666666666667,0.5133333333333333,-8.264919686229472,0.0411111111111111,0.585,0.8283333333333334,0.94
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.177,5,1157.0680779868649,3761.0304786908673,0.11083333333333334,0.11583333333333333,0.23833333333333334,-9.256423805473204,0.04194444444444445,0.5741666666666667,0.8408333333333333,0.9608333333333333
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.177,12,1193.0223512058456,3803.309283633804,0.10833333333333334,0.12333333333333334,0.22666666666666666,-9.131271350806413,0.0580555555555556,0.6033333333333334,0.8525,0.9683333333333334
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.4,0.177,20,1272.2356179347125,3874.634544894301,0.08833333333333333,0.09,0.17166666666666666,-9.09970673862178,0.06083333333333333,0.6066666666666667,0.8541666666666666,0.9716666666666667
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.55,0.0,5,871.0480212418186,3085.789032100723,0.15833333333333333,0.19166666666666668,0.36083333333333334,-9.004728115742932,0.018888888888888882,0.5325,0.8241666666666667,0.95
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.55,0.0,12,602.8470890702757,2699.212454380467,0.25083333333333335,0.30666666666666664,0.47333333333333333,-8.499298549266536,0.016944444444444467,0.525,0.7958333333333333,0.9283333333333333
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.55,0.0,20,434.93379882583946,2675.233690762835,0.30666666666666664,0.36916666666666664,0.5308333333333334,-8.216549986050069,0.026388888888888868,0.51,0.78,0.9008333333333334
0.18,0.15548798340459033,0.380859375,165,29.966616181211958,0.55,0.177,5,1035.0835490929671,3429.0853938652967,0.12416666666666666,0.14166666666666666,0.2808333333333333,-9.149439398909651,0.0472222222222222,0.5841666666666666,0.845,0.9625
